0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:39:14 +0800] "GET / HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:43:40 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:43:41 +0800] "GET /student/course/look.do HTTP/1.1" 200 3299
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:44:14 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:44:14 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:44:14 +0800] "GET /student/course/look.do HTTP/1.1" 200 3299
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:46:06 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:46:06 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:46:06 +0800] "GET /student/course/look.do HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:47:01 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:47:01 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:47:02 +0800] "GET /student/course/look.do HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:48:43 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:48:43 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:48:44 +0800] "GET /student/course/look.do HTTP/1.1" 200 7215
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:50:50 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:50:50 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:22:50:50 +0800] "GET /student/course/look.do HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:08:55 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:08:55 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:08:56 +0800] "GET /student/course/look.do HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:12:18 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:12:18 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:12:18 +0800] "GET /student/course/look.do HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:12:54 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:12:54 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:12:54 +0800] "GET /student/course/look.do HTTP/1.1" 200 7397
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:19:25 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:19:25 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:19:26 +0800] "GET /student/course/look.do HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:20:35 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:20:35 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:20:35 +0800] "GET /student/course/look.do HTTP/1.1" 200 7074
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:25:02 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:25:02 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:25:02 +0800] "GET /student/course/look.do HTTP/1.1" 200 6929
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:28:02 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:28:02 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:28:02 +0800] "GET /student/course/look.do HTTP/1.1" 200 6929
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:30:13 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:30:13 +0800] "GET /student/course/look.do HTTP/1.1" 500 375
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:30:13 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:30:22 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:30:22 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:30:23 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:30:23 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:30:24 +0800] "GET /student/course/look.do HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:31:56 +0800] "GET /student/course/look.do HTTP/1.1" 500 375
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:31:56 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:31:56 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:31:57 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:31:57 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:31:58 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:31:58 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:31:58 +0800] "GET /student/course/look.do HTTP/1.1" 200 7105
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:34:42 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:34:42 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:34:43 +0800] "GET /student/course/look.do HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:34:45 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:34:45 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:34:46 +0800] "GET /student/course/look.do HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:36:14 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:36:14 +0800] "GET /student/course/look.do HTTP/1.1" 500 375
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:36:14 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:36:16 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:36:16 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:36:17 +0800] "GET /student/course/look.do HTTP/1.1" 200 7493
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:38:09 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:38:09 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:38:10 +0800] "GET /student/course/look.do HTTP/1.1" 200 6929
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:47:15 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:47:16 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:47:16 +0800] "GET /student/course/look.do HTTP/1.1" 200 7287
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:59:20 +0800] "GET /student/login.do?username=201210312216&password=123456 HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:59:20 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [14/Nov/2018:23:59:20 +0800] "GET /student/course/look.do HTTP/1.1" 200 7180
